county_fips,state_abbr,county_name,cmr_facility_count,cct_facility_count,svi_percentile,svi_quartile,rucc_code,metro_indicator,total_population,adult_pop_45plus,rate_excluded,cmr_rate_per_100k,cct_rate_per_100k
31039,NE,Cuming,0,0,0.0795,1,9.0,0,8918,4059,0,0.0,0.0
53069,WA,Wahkiakum,0,0,0.2039,1,8.0,0,4765,2857,0,0.0,0.0
35011,NM,De Baca,0,0,0.5043,3,9.0,0,1657,851,1,,
31109,NE,Lancaster,0,0,0.4031,2,2.0,1,326716,120536,0,0.0,0.0
31129,NE,Nuckolls,0,0,0.014,1,9.0,0,4095,2156,0,0.0,0.0
46099,SD,Minnehaha,0,0,0.3748,2,2.0,1,206930,76396,0,0.0,0.0
48327,TX,Menard,0,0,0.8606,4,9.0,0,1958,1116,0,0.0,0.0
06091,CA,Sierra,0,0,0.3522,2,8.0,0,3200,1930,0,0.0,0.0
21053,KY,Clinton,0,0,0.6472,3,9.0,0,9148,4393,0,0.0,0.0
39063,OH,Hancock,0,0,0.1604,1,4.0,0,74704,32623,0,0.0,0.0
48189,TX,Hale,0,0,0.9332,4,4.0,0,31761,11531,0,0.0,0.0
01027,AL,Clay,0,0,0.6223,3,9.0,0,14111,6976,0,0.0,0.0
48011,TX,Armstrong,0,0,0.0865,1,2.0,1,1832,899,1,,
39003,OH,Allen,0,1,0.5673,3,3.0,1,100838,43731,0,0.0,2.286707370057854
13189,GA,McDuffie,0,0,0.6567,3,2.0,1,21799,9608,0,0.0,0.0
55111,WI,Sauk,0,0,0.2323,1,4.0,0,65920,30504,0,0.0,0.0
05137,AR,Stone,0,0,0.7709,4,9.0,0,12671,6901,0,0.0,0.0
41063,OR,Wallowa,0,0,0.4461,2,9.0,0,7674,4152,0,0.0,0.0
42007,PA,Beaver,0,1,0.2386,1,1.0,1,165631,82360,0,0.0,1.2141816415735793
28061,MS,Jasper,0,0,0.6281,3,8.0,0,16013,7464,0,0.0,0.0
29083,MO,Henry,0,0,0.6526,3,6.0,0,22485,10784,0,0.0,0.0
08109,CO,Saguache,0,0,0.6608,3,9.0,0,6688,3651,0,0.0,0.0
37037,NC,Chatham,0,0,0.2949,2,2.0,1,81624,44048,0,0.0,0.0
49033,UT,Rich,0,0,0.2141,1,8.0,0,2670,1133,0,0.0,0.0
40001,OK,Adair,0,0,0.9472,4,8.0,0,19627,8010,0,0.0,0.0
39085,OH,Lake,0,0,0.1438,1,1.0,1,231640,113700,0,0.0,0.0
51775,VA,Salem,0,0,0.3248,2,2.0,1,25600,11335,0,0.0,0.0
51121,VA,Montgomery,0,0,0.2873,2,3.0,1,98666,33844,0,0.0,0.0
47065,TN,Hamilton,1,1,0.5635,3,2.0,1,379864,164030,0,0.6096445772114857,0.6096445772114857
35035,NM,Otero,0,0,0.9294,4,4.0,0,68835,26898,0,0.0,0.0
35003,NM,Catron,0,0,0.4483,2,9.0,0,3825,2692,0,0.0,0.0
01091,AL,Marengo,0,0,0.6691,3,6.0,0,18684,8729,0,0.0,0.0
56023,WY,Lincoln,0,0,0.118,1,9.0,0,20880,9633,0,0.0,0.0
29011,MO,Barton,0,0,0.6767,3,8.0,0,11731,5392,0,0.0,0.0
48057,TX,Calhoun,0,0,0.72,3,6.0,0,19696,8806,0,0.0,0.0
51735,VA,Poquoson,0,0,0.0038,1,1.0,1,12635,5771,0,0.0,0.0
54075,WV,Pocahontas,0,0,0.5546,3,9.0,0,7765,4305,0,0.0,0.0
48077,TX,Clay,0,0,0.1772,1,3.0,1,10738,5499,0,0.0,0.0
51095,VA,James City,0,0,0.1763,1,1.0,1,82654,43523,0,0.0,0.0
31101,NE,Keith,0,0,0.2603,2,9.0,0,8113,4312,0,0.0,0.0
31137,NE,Phelps,0,0,0.3242,2,7.0,0,9057,3965,0,0.0,0.0
22019,LA,Calcasieu,0,2,0.7149,3,2.0,1,203761,82155,0,0.0,2.4344227375083682
22111,LA,Union,0,0,0.8724,4,3.0,1,20650,10212,0,0.0,0.0
40135,OK,Sequoyah,0,0,0.8183,4,3.0,1,40291,17898,0,0.0,0.0
01049,AL,DeKalb,0,0,0.756,4,6.0,0,72569,31855,0,0.0,0.0
36101,NY,Steuben,0,1,0.4683,2,4.0,0,92162,44031,0,0.0,2.271127160409711
42053,PA,Forest,0,0,0.5072,3,9.0,0,6449,3512,0,0.0,0.0
22105,LA,Tangipahoa,0,0,0.8651,4,3.0,1,138064,53009,0,0.0,0.0
51179,VA,Stafford,0,0,0.2428,1,1.0,1,165428,61551,0,0.0,0.0
26109,MI,Menominee,0,0,0.1553,1,7.0,0,22945,12818,0,0.0,0.0
18073,IN,Jasper,0,0,0.1005,1,1.0,1,33535,15328,0,0.0,0.0
13025,GA,Brantley,0,0,0.3974,2,3.0,1,18401,8309,0,0.0,0.0
