county_fips,total_population,adult_pop_45plus
01001,60342,25839
01003,253507,124093
01005,24585,11190
01007,21868,9877
01009,59816,27163
01011,9897,4422
01013,18382,8631
01015,116429,50089
01017,34079,16318
01019,25666,13714
01021,46431,19944
01023,12252,6401
01025,22337,10546
01027,14111,6976
01029,15639,7269
01031,55643,23623
01033,58361,27196
01035,11174,5743
01037,10268,5844
01039,37952,18052
01041,13101,5998
01043,92016,41514
01045,49871,20953
01047,36165,16705
01049,72569,31855
01051,90441,39035
01053,36558,16178
01055,103241,47628
01057,15967,7629
01059,31802,13649
01061,26988,12835
01063,7341,3617
01065,14888,6497
01067,17899,8989
01069,108462,48032
01071,53467,25855
01073,662895,270755
01075,13661,6702
01077,96814,43406
01079,33502,15698
01081,183215,67276
01083,114654,49654
01085,9717,4579
01087,18370,8236
01089,412600,170546
01091,18684,8729
01093,29244,14156
01095,100756,42190
01097,411640,172589
01099,19229,9416
01101,224980,90119
01103,125133,55316
01105,7738,3613
01107,18688,8668
01109,33137,12045
01111,22786,11090
01113,58744,23921
01115,95552,42769
01117,233000,101687
01119,11727,4884
01121,81132,37789
01123,40677,20930
01125,237373,85005
01127,64728,29701
01129,15022,7260
01131,9944,4756
01133,23611,11957
02013,3461,1652
02016,5160,2241
02020,286075,102534
02050,18224,5128
02060,844,383
02063,6769,2917
02066,2674,1196
02068,1584,699
02070,4607,1503
02090,94840,30837
02100,2070,1122
02105,2262,1303
02110,31555,13597
02122,61223,27767
02130,13738,6079
02150,12565,4561
02158,8001,1915
02164,1331,531
02170,115239,43783
02180,9763,2823
02185,10603,3875
02188,7361,2009
02195,3427,1598
02198,5696,2721
02220,8282,3724
02230,1095,507
02240,7077,2801
02275,2064,1125
02282,687,338
02290,5129,2078
04001,65036,26508
04003,124640,60451
04005,144472,51536
04007,54003,30066
04009,39525,14181
04011,9369,3337
04012,16710,10546
04013,4585871,1858458
04015,223682,130603
04017,109175,47964
04019,1063162,471227
04021,484239,212998
04023,49158,20827
04025,249081,149605
04027,213221,84698
05001,16307,7625
05003,18262,8843
05005,42875,24123
05007,311013,114329
05009,38530,17894
05011,10104,4502
05013,4641,2367
05015,28814,14353
05017,9538,4640
05019,21274,7935
05021,14201,6827
05023,25445,13932
05025,7378,3614
05027,22150,8827
05029,21077,9876
05031,113993,41427
05033,61891,26851
05035,47139,18502
05037,16420,7284
05039,6185,3164
05041,10479,4737
05043,16945,7063
05045,129951,46834
05047,17468,8119
05049,12421,6504
05051,99784,50871
05053,18383,8284
05055,46743,19440
05057,19343,8538
05059,33258,15612
05061,12533,5427
05063,38320,16326
05065,14169,7450
05067,16784,7136
05069,63661,27767
05071,26129,11140
05073,6095,3241
05075,16318,7286
05077,8201,3743
05079,12898,5214
05081,11805,5696
05083,21400,10414
05085,75944,30347
05087,17775,7999
05089,17514,9978
05091,42415,18098
05093,38663,15512
05095,6512,3228
05097,8620,4864
05099,8120,3970
05101,7071,3839
05103,21793,10405
05105,10184,5038
05107,14961,6823
05109,10208,4862
05111,22397,9813
05113,19436,9582
05115,64593,26190
05117,8036,4079
05119,400009,162438
05121,18907,8202
05123,22101,9529
05125,129574,56513
05127,9851,4629
05129,7806,4200
05131,129098,53737
05133,15632,6010
05135,17968,9484
05137,12671,6901
05139,37397,16664
05141,16142,8860
05143,261549,88043
05145,78452,33151
05147,5964,2990
05149,20044,8986
06001,1622188,674466
06003,1141,624
06005,41811,23015
06007,207172,82641
06009,46565,26141
06011,22037,8415
06013,1155025,510458
06015,26589,12116
06017,192215,99352
06019,1017162,349550
06021,28129,11118
06023,133985,58058
06025,179057,61973
06027,18527,9279
06029,913820,303321
06031,152682,48360
06033,67878,33166
06035,28861,11906
06037,9663345,3980364
06039,162858,59137
06041,254407,137126
06043,16919,9356
06045,89108,44130
06047,291920,95572
06049,8500,4694
06051,13066,6043
06053,430723,163608
06055,133216,63840
06057,102037,57076
06059,3135755,1354691
06061,423561,197187
06063,19131,11109
06065,2492442,983215
06067,1584288,627081
06069,68175,25888
06071,2195611,790348
06073,3269973,1289722
06075,808988,353562
06077,800965,295094
06079,281639,127041
06081,726353,327557
06083,441257,167941
06085,1877592,762487
06087,261547,115458
06089,180366,82448
06091,3200,1930
06093,42905,22617
06095,449218,190421
06097,481812,231324
06099,551430,201763
06101,97948,39074
06103,64896,28947
06105,15670,9202
06107,479468,158560
06109,54204,28584
06111,829590,362598
06113,220544,75404
06115,85722,29451
08001,533365,183217
08003,16655,5866
08005,656061,254898
08007,14189,8126
08009,3344,1631
08011,5681,2557
08013,326831,135033
08014,76860,31751
08015,20617,10799
08017,1727,788
08019,9147,5023
08021,7521,3285
08023,3628,1959
08025,5636,2278
08027,5534,3479
08029,31746,17080
08031,716577,241467
08033,2513,1302
08035,383906,161176
08037,54381,23885
08039,28806,14143
08041,744215,270891
08043,50318,24619
08045,62707,24901
08047,5926,3438
08049,15935,7990
08051,17321,6793
08053,765,483
08055,7055,4239
08057,1309,733
08059,576366,251022
08061,1384,691
08063,6994,3079
08065,7365,2936
08067,56407,26969
08069,370771,148134
08071,14348,7413
08073,5480,2384
08075,20619,8973
08077,159681,72226
08079,944,552
08081,13327,5612
08083,26531,13157
08085,44156,22555
08087,29524,11340
08089,18136,8149
08091,5176,3185
08093,18117,10421
08095,4476,1988
08097,16640,8697
08099,11751,4846
08101,169422,74556
08103,6569,2838
08105,11188,5352
08107,25064,12083
08109,6688,3651
08111,802,446
08113,7868,3908
08115,2299,1256
08117,30465,13404
08119,24617,14167
08121,4855,2240
08123,359442,127884
08125,9862,3963
09110,975328,426723
09120,327651,142980
09130,176215,90043
09140,456128,209616
09150,96692,47304
09160,113463,59051
09170,568158,253263
09180,279634,128032
09190,623907,284677
10001,189789,80103
10003,578592,247581
10005,263509,150816
11001,678972,224097
12001,285994,100834
12003,28368,11364
12005,190769,85607
12007,27858,12142
12009,643979,333933
12011,1962531,893246
