cohort,outcome,model,term,irr,ci_low,ci_high,p_value,alpha,n
Primary (Accredited + Under Review),CMR,unadjusted,SVI,0.9949499733588726,0.9598410987624255,1.0313430533066201,0.7823828621897806,0.6185736265504381,3038
Primary (Accredited + Under Review),CMR,adjusted,SVI,0.9989880886783907,0.9632716522815455,1.03602882837625,0.9565343810622775,0.46043287322136683,3038
Primary (Accredited + Under Review),CMR,adjusted,metro,8.853189888973063,5.08637510327993,15.409593201192042,1.235814423981492e-14,0.46043287322136683,3038
Primary (Accredited + Under Review),CCT,unadjusted,SVI,1.0272474020272642,1.002458387979689,1.0526494043293337,0.031007719657842735,0.24866687190915543,3038
Primary (Accredited + Under Review),CCT,adjusted,SVI,1.0301755827892798,1.0052775849712317,1.0556902364490728,0.017235467133881213,0.2048641084629613,3038
Primary (Accredited + Under Review),CCT,adjusted,metro,2.0606722463067735,1.6873119336666362,2.516647942785168,1.3480414304294374e-12,0.2048641084629613,3038
Sensitivity (Accredited only),CMR,unadjusted,SVI,0.9943802667989499,0.9592491774949281,1.0307979805428384,0.7587775318652128,0.6104210787474321,3038
Sensitivity (Accredited only),CMR,adjusted,SVI,0.9982849011227587,0.9625608281300152,1.0353348221594851,0.9264406640996402,0.4547609752630353,3038
Sensitivity (Accredited only),CMR,adjusted,metro,8.771062120159218,5.039194876771045,15.266631395884255,1.5991007349183838e-14,0.4547609752630353,3038
Sensitivity (Accredited only),CCT,unadjusted,SVI,1.0276575656231912,1.0028881508674117,1.0530387374396293,0.028405280790692267,0.23992287604757548,3038
Sensitivity (Accredited only),CCT,adjusted,SVI,1.0304529215279488,1.0055787661445916,1.0559423679525117,0.016119545727639076,0.1980795528941372,3038
Sensitivity (Accredited only),CCT,adjusted,metro,2.044124845608029,1.673959990023137,2.4961447163228163,2.3098404338358165e-12,0.1980795528941372,3038
