index,outcome,specification,alpha,aic,bic,log_likelihood,irr,ci_low,ci_high,p_value,converged,n
SVI unadjusted,CMR,Poisson,,1981.2694113417251,1993.3759136488234,-988.6347056708626,1.003666417335351,0.9762244043367181,1.0318798350172427,0.795836340114503,True,3144
SVI unadjusted,CMR,"NB2, estimated alpha",0.5909653350699511,1903.2461496996762,1921.4059031603235,-948.6230748498381,0.9995402497963146,0.9648565927771909,1.0354706786914096,0.9796393327286228,True,3144
SVI unadjusted,CMR,"NB2, alpha = 1.0 (sensitivity)",1.0,1909.5866122931293,1921.6931146002275,-952.7933061465646,0.9980476825353862,0.9590627521838921,1.0386173108548182,0.9234182046900036,True,3144
SVI unadjusted,CCT,Poisson,,3111.7909622329207,3123.897464540019,-1553.8954811164604,1.03747362095034,1.0176433236098068,1.0576903411990675,0.00018685754449954443,True,3144
SVI unadjusted,CCT,"NB2, estimated alpha",0.2219005069859209,3027.8678652072686,3046.0276186679157,-1510.9339326036343,1.0303791454651043,1.0061225812382937,1.0552205101119245,0.013810828641902913,True,3144
SVI unadjusted,CCT,"NB2, alpha = 1.0 (sensitivity)",1.0,3124.706656501631,3136.8131588087294,-1560.3533282508156,1.0257815206877927,0.9942391472612132,1.058324580241168,0.11017663152727229,True,3144
SVI adjusted,CMR,Poisson,,1837.9812215902407,1856.140975050888,-915.9906107951203,0.9986607540076241,0.9712964246074804,1.0267960185255638,0.9246805776783382,True,3144
SVI adjusted,CMR,"NB2, estimated alpha",0.4389781792396586,1780.7404139955356,1804.953418609732,-886.3702069977678,1.0033787421476013,0.9680724697681254,1.039972658694494,0.8535772823447894,True,3144
SVI adjusted,CMR,"NB2, alpha = 1.0 (sensitivity)",1.0,1797.7497258389785,1815.909479299626,-895.8748629194893,1.0040521224587102,0.962853261262375,1.047013813186982,0.8499579752353322,True,3144
SVI adjusted,CCT,Poisson,,3033.700446910965,3051.8602003716123,-1513.8502234554826,1.0346188698098702,1.0147999811228408,1.0548248183669187,0.0005632541060294736,True,3144
SVI adjusted,CCT,"NB2, estimated alpha",0.18152856586939842,2966.653472901704,2990.8664775159004,-1479.326736450852,1.0330443029047953,1.0086920233710541,1.0579845057141735,0.007562336981784896,True,3144
SVI adjusted,CCT,"NB2, alpha = 1.0 (sensitivity)",1.0,3083.3333363633874,3101.4930898240345,-1538.6666681816937,1.031682861934027,0.9989872372782378,1.0654485742062956,0.057657068101204995,True,3144
EDI unadjusted,CMR,Poisson,,1946.9611400394374,1959.0612708852693,-971.4805700197187,0.9634461430904173,0.937555797871186,0.9900514430644407,0.007376401523567848,True,3134
EDI unadjusted,CMR,"NB2, estimated alpha",0.5945497728707722,1868.3509524668034,1886.5011487355514,-931.1754762334017,0.9477290858441936,0.9148027290753743,0.9818405560102623,0.0029225825342760656,True,3134
EDI unadjusted,CMR,"NB2, alpha = 1.0 (sensitivity)",1.0,1874.4625902830853,1886.5627211289172,-935.2312951415427,0.9430188829145684,0.9059885294950126,0.98156277323855,0.004098939171260393,True,3134
EDI unadjusted,CCT,Poisson,,3102.384265834472,3114.484396680304,-1549.192132917236,1.0022417347826895,0.9840493135014892,1.0207704849323032,0.810653446168627,True,3134
EDI unadjusted,CCT,"NB2, estimated alpha",0.2422334500754509,3007.4888452257082,3025.6390414944563,-1500.7444226128541,0.9894007369140252,0.9665330270086128,1.012809485916608,0.37178469507122436,True,3134
EDI unadjusted,CCT,"NB2, alpha = 1.0 (sensitivity)",1.0,3096.1281283804215,3108.2282592262536,-1546.0640641902107,0.9805707381854596,0.9509528606446446,1.011111078559425,0.20990238359536972,True,3134
EDI adjusted,CMR,Poisson,,1813.2926090634314,1831.4428053321794,-903.6463045317157,0.9951019933584535,0.9680052891892202,1.022957196871683,0.7274041950257173,True,3134
EDI adjusted,CMR,"NB2, estimated alpha",0.4403995757433463,1756.887383358257,1781.0876450499209,-874.4436916791285,0.9928843317738106,0.9575987542037424,1.029470111520404,0.6989078098288095,True,3134
EDI adjusted,CMR,"NB2, alpha = 1.0 (sensitivity)",1.0,1773.3997578826888,1791.5499541514369,-883.6998789413444,0.9897371386154883,0.9481340816083028,1.0331656909676012,0.6377671666010227,True,3134
EDI adjusted,CCT,Poisson,,3018.334057676894,3036.484253945642,-1506.167028838447,1.0219954662406003,1.0030465050958095,1.0413023999486197,0.022695202245274115,True,3134
EDI adjusted,CCT,"NB2, estimated alpha",0.19171920418065777,2947.8963680067477,2972.0966296984116,-1469.9481840033739,1.0163048101521859,0.9922258410092948,1.0409681187982636,0.18616264771112234,True,3134
EDI adjusted,CCT,"NB2, alpha = 1.0 (sensitivity)",1.0,3057.8697954759855,3076.0199917447335,-1525.9348977379927,1.0097912755387046,0.977097617203007,1.0435788627475797,0.5617500443503046,True,3134
SDI unadjusted,CMR,Poisson,,1950.9811035213029,1963.0805961032072,-973.4905517606514,1.0237274869089918,0.9977078543644142,1.0504256961278868,0.07421852834420714,True,3133
SDI unadjusted,CMR,"NB2, estimated alpha",0.5814244216765113,1876.4267690102413,1894.5760078830979,-935.2133845051206,1.0168704109480156,0.9837399554599005,1.0511166359794513,0.3222118951562162,True,3133
SDI unadjusted,CMR,"NB2, alpha = 1.0 (sensitivity)",1.0,1883.0139752756409,1895.1134678575452,-939.5069876378204,1.014522356074707,0.9763323308330057,1.0542062149034996,0.46144277749776685,True,3133
SDI unadjusted,CCT,Poisson,,3090.0306936980687,3102.1301862799733,-1543.0153468490344,1.0319303849320682,1.0139742165051802,1.0502045338157826,0.0004490253298555238,True,3133
SDI unadjusted,CCT,"NB2, estimated alpha",0.23051534973868298,3003.6912035794276,3021.840442452284,-1498.8456017897138,1.0246382758554229,1.0019782780272335,1.0478107353934454,0.032910559115149805,True,3133
SDI unadjusted,CCT,"NB2, alpha = 1.0 (sensitivity)",1.0,3095.816157319178,3107.9156499010824,-1545.908078659589,1.0206849724511153,0.9903537901343138,1.0519450961521977,0.1834515556921803,True,3133
SDI adjusted,CMR,Poisson,,1808.3730749779077,1826.5223138507642,-901.1865374889538,1.0296316306449012,1.0037091586562903,1.0562235939380447,0.0247976257095145,True,3133
SDI adjusted,CMR,"NB2, estimated alpha",0.4283904499608132,1752.918943567568,1777.1179287313769,-872.459471783784,1.0351351168711171,1.001160943973391,1.070262195733696,0.04254920439271616,True,3133
SDI adjusted,CMR,"NB2, alpha = 1.0 (sensitivity)",1.0,1770.5389273486953,1788.688166221552,-882.2694636743477,1.035447862863351,0.9946919686330844,1.077873663925972,0.08909387377545633,True,3133
SDI adjusted,CCT,Poisson,,3008.2794715424507,3026.4287104153073,-1501.1397357712253,1.0353221637522425,1.0173998422293304,1.0535602014719123,9.77519501074338e-05,True,3133
SDI adjusted,CCT,"NB2, estimated alpha",0.18592832533964623,2940.6310751131614,2964.83006027697,-1466.3155375565807,1.0347863101669572,1.0119264902132095,1.0581625425018135,0.0026982810334682966,True,3133
SDI adjusted,CCT,"NB2, alpha = 1.0 (sensitivity)",1.0,3053.353475275878,3071.5027141487344,-1523.676737637939,1.034912810412118,1.0030910737248642,1.0677440495785757,0.0312674665290802,True,3133
