outcome,model,term,irr,ci_low,ci_high,p_value,n,alpha
CMR,unadjusted,SVI Q2 vs Q1,0.9958247788233996,0.745471971738179,1.3302538897692602,0.97740623715053,3144,0.5774339077453221
CMR,unadjusted,SVI Q3 vs Q1,1.1251830761551356,0.8526926505793321,1.4847518082931395,0.404484883665157,3144,0.5774339077453221
CMR,unadjusted,SVI Q4 vs Q1,0.9679035341759729,0.725505089661198,1.291289702609571,0.8244626028161841,3144,0.5774339077453221
CMR,adjusted for metropolitan status,SVI Q2 vs Q1,1.0075914670387867,0.7529505910102168,1.3483495153211174,0.9594197040431234,3144,0.42635411785910526
CMR,adjusted for metropolitan status,SVI Q3 vs Q1,1.1416681694400943,0.863840056384291,1.5088513197318765,0.3517428831346654,3144,0.42635411785910526
CMR,adjusted for metropolitan status,SVI Q4 vs Q1,0.9819910512095363,0.7340385151918773,1.3137000371207235,0.9025886169569124,3144,0.42635411785910526
CCT,unadjusted,SVI Q2 vs Q1,1.206923036312989,0.9850375554759314,1.4787895217651499,0.06959812970448544,3144,0.21986415215471358
CCT,unadjusted,SVI Q3 vs Q1,1.3806056716757464,1.1360201929220852,1.6778504753163028,0.0011875680510454625,3144,0.21986415215471358
CCT,unadjusted,SVI Q4 vs Q1,1.2540037122475804,1.0275393528241703,1.5303796453232275,0.025927305912678646,3144,0.21986415215471358
CCT,adjusted for metropolitan status,SVI Q2 vs Q1,1.2182485422239993,0.9944317609131655,1.4924397721046787,0.05664347259102313,3144,0.18029865144977797
CCT,adjusted for metropolitan status,SVI Q3 vs Q1,1.3926282586736376,1.1461579927555552,1.692099587591493,0.0008602100797365855,3144,0.18029865144977797
CCT,adjusted for metropolitan status,SVI Q4 vs Q1,1.270353219852197,1.0412541042556371,1.5498592481827498,0.01835475007714976,3144,0.18029865144977797
