Stratum,"Counties, No.","Adults ≥45 y, millions","CMR facilities, No.","Counties with ≥1 CMR, No. (%)","CMR rate, mean per 100,000","CCT facilities, No.","Counties with ≥1 CCT, No. (%)","CCT rate, mean per 100,000"
All counties,"3,144",141.6,722,300 (9.5),0.16,"1,542",552 (17.6),0.50
Rurality,,,,,,,,
Metropolitan (RUCC 1-3),"1,186",120.3,708,286 (24.1),0.37,"1,427",444 (37.4),0.75
Nonmetropolitan (RUCC 4-9),"1,958",21.3,14,14 (0.7),0.02,115,108 (5.5),0.33
EDI quintile,,,,,,,,
Q1 (least deprived),606,43.0,240,109 (18.0),0.26,439,170 (28.1),0.60
Q2,606,28.9,131,66 (10.9),0.16,297,117 (19.3),0.41
Q3,605,29.6,177,65 (10.7),0.19,374,117 (19.3),0.54
Q4,606,26.3,112,37 (6.1),0.08,317,95 (15.7),0.62
Q5 (most deprived),606,12.2,48,19 (3.1),0.09,97,47 (7.8),0.30

CMR = cardiac magnetic resonance; CCT = cardiac computed tomography; RUCC = Rural-Urban Continuum Code (USDA ERS 2023); EDI = Economic Deprivation Index.
"Metropolitan is RUCC 1-3, nonmetropolitan RUCC 4-9."
"Rate = accredited facilities per 100,000 adults aged 45 years and older."
"Facility and county counts include every county in the stratum. Mean rates are calculated over the rate-eligible counties only, because a per-head rate is not defined for a county with fewer than 1,000 adults aged 45 and older (106 counties excluded; 3,038 of 3,144 retained)."
"EDI quintiles are formed among rate-eligible counties with an EDI value, so the rurality strata and the quintile strata do not sum to the same total."
"Population denominators are American Community Survey 5-year estimates, 2019-2023."
